Age,MP_x,PF,TS%,TRB%,AST%,STL%,BLK%,TOV%,USG%,BPM,NumOfAwards,All-Star,AwardWinner,FirstTeam,SecondTeam,ThirdTeam,DefTeam1,DefTeam2,Next_Year_Salary,Pos_C,Pos_PF,Pos_PG,Pos_SF,Pos_SG
24.0,11.0,0.9,0.617,5.7,6.4,0.7,0.6,5.5,15.2,-2.1,0,0,0,0,0,0,0,0,2120693,0,0,0,0,1
20.0,8.6,0.3,0.382,5.7,3.7,0.3,1.1,11.3,17.3,-9.6,0,0,0,0,0,0,0,0,250000,0,0,0,1,0
28.0,31.5,1.9,0.607,11.4,15.2,1.2,1.7,11.2,17.8,1.3,0,0,0,0,0,0,0,0,22841455,0,1,0,0,0
27.0,16.3,1.6,0.578,5.2,15.4,1.6,0.4,10.6,16.7,-1.5,0,0,0,0,0,0,0,0,4668000,0,0,1,0,0
24.0,27.7,3.3,0.631,7.8,6.6,1.5,2.0,8.4,16.0,-0.5,0,0,0,0,0,0,0,0,11000000,0,0,0,1,0
25.0,15.7,1.2,0.664,8.4,9.3,2.2,1.4,12.1,16.4,0.7,0,0,0,0,0,0,0,0,10514017,0,0,0,0,1
37.0,26.8,1.4,0.65,12.8,12.3,1.1,3.1,10.0,12.0,3.6,0,0,0,0,0,0,0,0,9500000,1,0,0,0,0
32.0,18.4,1.1,0.536,6.9,10.7,1.1,0.9,7.0,24.4,-2.3,0,0,0,0,0,0,0,0,2087519,0,0,0,0,1
29.0,28.7,2.5,0.613,7.5,16.4,2.9,3.5,14.9,14.7,2.5,2,0,0,0,0,0,0,1,9890000,0,0,0,0,1
30.0,9.3,1.4,0.625,16.1,14.4,1.2,6.8,22.0,11.8,0.2,0,0,0,0,0,0,0,0,2831348,1,0,0,0,0
30.0,9.3,1.4,0.625,16.1,14.4,1.2,6.8,22.0,11.8,0.2,0,0,0,0,0,0,0,0,2831348,1,0,0,0,0
21.0,22.4,2.3,0.576,15.8,17.0,2.7,2.5,14.9,18.5,1.8,0,0,0,0,0,0,0,0,9249960,0,0,0,1,0
26.0,20.9,1.5,0.604,5.7,6.8,1.4,0.9,7.9,12.5,-2.2,0,0,0,0,0,0,0,0,3938271,0,0,0,1,0
30.0,17.1,1.8,0.576,29.3,4.1,2.7,3.6,12.3,21.3,0.1,0,0,0,0,0,0,0,0,5000000,1,0,0,0,0
22.0,10.0,1.6,0.596,10.8,10.8,1.3,0.9,21.1,10.0,-3.6,0,0,0,0,0,0,0,0,1891857,0,0,0,0,1
24.0,25.0,2.1,0.573,4.7,20.0,1.8,0.3,15.6,16.0,-2.2,0,0,0,0,0,0,0,0,2019699,0,0,1,0,0
28.0,27.0,2.1,0.544,9.0,8.6,1.1,1.9,9.2,20.9,-2.5,0,0,0,0,0,0,0,0,26276786,0,0,0,1,0
24.0,34.4,2.1,0.568,5.9,27.6,0.7,0.3,12.1,28.0,0.2,0,0,0,0,0,0,0,0,25892857,0,0,0,0,1
20.0,16.9,1.6,0.56,7.0,10.6,1.5,1.7,16.6,12.7,-3.0,0,0,0,0,0,0,0,0,7607760,0,0,1,0,0
30.0,35.5,2.3,0.621,19.8,15.5,1.6,5.7,9.5,26.7,5.1,4,1,0,0,1,0,1,0,43219440,1,0,0,0,0
